customer id,product,sex,age group 
1,health,male,young
2,health,male,young
3,health,male,young
4,health,male,young
5,health,male,young
6,health,male,young
7,health,male,young
8,health,male,young
9,health,male,young
10,health,male,young
11,health,male,old
12,health,male,old
13,health,male,old
14,health,male,old
15,health,male,old
16,health,male,old
17,health,male,old
18,health,male,old
19,health,male,old
20,health,male,old
21,health,female,young
22,health,female,young
23,health,female,young
24,health,female,young
25,health,female,young
26,health,female,old
27,health,female,old
28,health,female,old
29,health,female,old
30,health,female,old
31,health,female,old
32,health,female,old
33,health,female,old
34,health,female,old
35,health,female,old
36,health,female,old
37,health,female,old
38,health,female,old
39,health,female,old
40,health,female,old
41,life,male,young
42,life,male,young
43,life,male,young
44,life,male,young
45,life,male,young
46,life,male,young
47,life,male,young
48,life,male,young
49,life,male,young
50,life,male,young
51,life,male,young
52,life,male,young
53,life,male,young
54,life,male,young
55,life,male,young
56,life,male,young
57,life,male,young
58,life,male,young
59,life,male,old
60,life,male,old
61,life,female,young
62,life,female,young
63,life,female,young
64,life,female,young
65,life,female,young
66,life,female,young
67,life,female,young
68,life,female,young
69,life,female,young
70,life,female,young
71,life,female,young
72,life,female,young
73,life,female,young
74,life,female,young
75,life,female,young
76,life,female,young
77,life,female,young
78,life,female,young
79,life,female,young
80,life,female,young
81,life,female,young
82,life,female,young
83,life,female,young
84,life,female,young
85,life,female,young
86,life,female,young
87,life,female,young
88,life,female,young
89,life,female,young
90,life,female,young
91,life,female,old
92,life,female,old
93,life,female,old
94,life,female,old
95,life,female,old
96,life,female,old
97,life,female,old
98,life,female,old
99,life,female,old
100,life,female,old
